date,day_type,festival,is_festival,unexpected_surge,customers,dish,quantity_sold,prep_quantity,waste,revenue,waste_cost
2024-01-01,Weekday,None,0,0,88,Biryani,19,20,1,4750,100.0
2024-01-01,Weekday,None,0,0,88,Paneer Butter Masala,15,17,2,3300,176.0
2024-01-01,Weekday,None,0,0,88,Dosa,13,14,1,1560,48.0
2024-01-01,Weekday,None,0,0,88,Burger,17,18,1,2550,60.0
2024-01-01,Weekday,None,0,0,88,Pizza,18,19,1,5400,120.0
2024-01-02,Weekday,None,0,0,80,Biryani,18,20,2,4500,200.0
2024-01-02,Weekday,None,0,0,80,Paneer Butter Masala,14,16,2,3080,176.0
2024-01-02,Weekday,None,0,0,80,Dosa,12,12,0,1440,0.0
2024-01-02,Weekday,None,0,0,80,Burger,15,17,2,2250,120.0
2024-01-02,Weekday,None,0,0,80,Pizza,16,18,2,4800,240.0
2024-01-03,Weekday,None,0,0,87,Biryani,19,20,1,4750,100.0
2024-01-03,Weekday,None,0,0,87,Paneer Butter Masala,15,16,1,3300,88.0
2024-01-03,Weekday,None,0,0,87,Dosa,13,14,1,1560,48.0
2024-01-03,Weekday,None,0,0,87,Burger,16,17,1,2400,60.0
2024-01-03,Weekday,None,0,0,87,Pizza,18,19,1,5400,120.0
2024-01-04,Weekday,None,0,0,69,Biryani,15,15,0,3750,0.0
2024-01-04,Weekday,None,0,0,69,Paneer Butter Masala,12,14,2,2640,176.0
2024-01-04,Weekday,None,0,0,69,Dosa,10,10,0,1200,0.0
2024-01-04,Weekday,None,0,0,69,Burger,13,13,0,1950,0.0
2024-01-04,Weekday,None,0,0,69,Pizza,14,15,1,4200,120.0
2024-01-05,Weekday,None,0,0,79,Biryani,17,19,2,4250,200.0
2024-01-05,Weekday,None,0,0,79,Paneer Butter Masala,14,14,0,3080,0.0
2024-01-05,Weekday,None,0,0,79,Dosa,11,12,1,1320,48.0
2024-01-05,Weekday,None,0,0,79,Burger,15,16,1,2250,60.0
2024-01-05,Weekday,None,0,0,79,Pizza,16,16,0,4800,0.0
2024-01-06,Weekend,None,0,0,113,Biryani,25,29,4,6250,400.0
2024-01-06,Weekend,None,0,0,113,Paneer Butter Masala,20,21,1,4400,88.0
2024-01-06,Weekend,None,0,0,113,Dosa,16,17,1,1920,48.0
2024-01-06,Weekend,None,0,0,113,Burger,22,25,3,3300,180.0
2024-01-06,Weekend,None,0,0,113,Pizza,23,25,2,6900,240.0
2024-01-07,Weekend,None,0,0,107,Biryani,24,25,1,6000,100.0
2024-01-07,Weekend,None,0,0,107,Paneer Butter Masala,19,22,3,4180,264.0
2024-01-07,Weekend,None,0,0,107,Dosa,16,17,1,1920,48.0
2024-01-07,Weekend,None,0,0,107,Burger,20,22,2,3000,120.0
2024-01-07,Weekend,None,0,0,107,Pizza,22,24,2,6600,240.0
2024-01-08,Weekday,None,0,0,69,Biryani,15,17,2,3750,200.0
2024-01-08,Weekday,None,0,0,69,Paneer Butter Masala,12,12,0,2640,0.0
2024-01-08,Weekday,None,0,0,69,Dosa,10,11,1,1200,48.0
2024-01-08,Weekday,None,0,0,69,Burger,13,14,1,1950,60.0
2024-01-08,Weekday,None,0,0,69,Pizza,14,15,1,4200,120.0
2024-01-09,Weekday,None,0,0,75,Biryani,16,17,1,4000,100.0
2024-01-09,Weekday,None,0,0,75,Paneer Butter Masala,13,14,1,2860,88.0
2024-01-09,Weekday,None,0,0,75,Dosa,11,12,1,1320,48.0
2024-01-09,Weekday,None,0,0,75,Burger,14,16,2,2100,120.0
2024-01-09,Weekday,None,0,0,75,Pizza,15,17,2,4500,240.0
2024-01-10,Weekday,None,0,0,74,Biryani,16,18,2,4000,200.0
2024-01-10,Weekday,None,0,0,74,Paneer Butter Masala,13,14,1,2860,88.0
2024-01-10,Weekday,None,0,0,74,Dosa,11,12,1,1320,48.0
2024-01-10,Weekday,None,0,0,74,Burger,14,15,1,2100,60.0
2024-01-10,Weekday,None,0,0,74,Pizza,15,16,1,4500,120.0
2024-01-11,Weekday,None,0,0,60,Biryani,13,13,0,3250,0.0
2024-01-11,Weekday,None,0,0,60,Paneer Butter Masala,10,11,1,2200,88.0
